rownum,utt_len,uID,langtype,corpus,file,name,role,age,sex,group,SES,Y,M,D,agemonth,who,Target,Repetition,w,mw_stem,pos_c,t_type
14027,8,u166,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,I'm gonna move these books honey these books,I;be gonna move these book honey these book,pro;aux mod v pro n n pro n,p
14028,2,u167,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,these books,these book,pro n,q
14029,4,u168,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,are in your way,be in your way,cop prep det n,p
14030,10,u169,Sachs,,020117.xml,,Father,,,,,2,1,17,25.54839,FAT,,,honey I'll try to come back just as_soon_as I can,honey I;will try to come back just as_soon_as I can,co pro;mod v inf v adv adv conj pro mod,p
14031,1,u170,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,okay,okay,co,p
14032,4,u171,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what do you want,what do you want,pro mod pro v,q
14033,4,u172,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what do you want,what do you want,pro mod pro v,q
14034,3,u173,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what do you,what do you,pro mod pro,interruption
14035,2,u174,Sachs,,020117.xml,,Father,,,,,2,1,17,25.54839,FAT,,,where's Nomi,where;be Nomi,adv;cop n,q
14036,4,u175,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,what do you want,what do you want,pro mod pro v,q
14037,2,u176,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,sit up,sit up,v adv,p
14038,2,u177,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,sit up,sit up,v adv,p
14039,3,u178,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby sit up,baby sit up,n v adv,p
14040,3,u179,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby sit up,baby sit up,n v adv,p
14041,3,u180,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby sit up,baby sit up,n v adv,p
14042,3,u181,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,baby sit up,baby sit up,n v adv,p
14043,8,u182,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,that baby's having trouble sitting up isn't she,that baby;be have trouble sit up be;not she,pro n;aux part n part adv cop;neg pro,q
14044,6,u183,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,she is having trouble sitting up,she be have trouble sit up,pro aux part n part adv,p
14045,2,u184,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,sitting up,sit up,part adv,q
14046,1,u185,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,yes,yes,co,p
14047,1,u186,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,Georgie,Georgie,n,p
14048,3,u187,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,Georgie has on,Georgie have pajamas on,n v n adv,p
14049,1,u188,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,mhm,yes,co,p
14050,5,u189,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does Agra have on,what do Agra have on,pro mod n v adv,q
14051,4,u190,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,uh Agra have on,Agra have on,n v adv,q
14052,6,u191,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does she have on honey,what do she have on honey,pro v pro v prep n,q
14053,1,u192,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,dress,dress,n,p
14054,1,u193,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,right,right,co,p
14055,5,u194,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does Baby have on,what do Baby have on,pro mod n v adv,q
14056,4,u195,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,uh baby have on,baby have on,n v adv,q
14057,5,u196,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does baby have on,what do baby have on,pro v n v adv,q
14058,4,u197,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,uhs baby have on,uhs baby have on,chi n v adv,q
14059,1,u198,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,huh,huh,co,q
14060,4,u199,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what do you think,what do you think,pro mod pro v,q
14061,5,u200,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,what does baby have on,what do baby have on,pro v n v adv,q
14062,1,u201,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,xxx,,,p
14063,1,u202,Sachs,,020117.xml,,Mother,,,,,2,1,17,25.54839,MOT,,,huh,huh,co,q
14064,1,u203,Sachs,,020117.xml,Naomi,Target_Child,P2Y1M17D,,,,2,1,17,25.54839,CHI,,,bean,belly;button;belly;button,n;n;n;n;n;n,p
